image,Current_Baseline
1971_IM-0633-1001.dcm.png,"historyful - year - old female with shortness of breath and cough for five days, rule out cardiopulmonary process or congestive heart failureumonitisheezes hanging over the spine on chest x - rays done prior to graduation from zurich lady who presents with four hours of lightheadedness and left arm pain that started rolling out thirty minutes ago as well as half her left arm folded back onto her hipsposignsh while walking away from school friday nightmarlkout due to senior mandible knob grinder photo1040968247430"
3326_IM-1592-4004.dcm.png,"history 「 - year - old female with shortness of breath for five days and fevers and chills that are still dry cough for five days, rule out infectious process or fluid overloadheezergyess clarenceance to explain fevers and brown sputum on tableturanic notes person brought in wheelchair after falling off ladder four miles ago and hit him back onto her face while playing soccer ball game played baseball game ended at stadium stadium during the time of this school teacher who was named them were forced to bathroom floor because of pain between knee and left thigh legs as well as feet apart from walking"
1811_IM-0525-1001.dcm.png,"history 「 - year - old female with shortness of breath and bleach ingestion for five days, looking for hilar or mediastinal lymphadenoarthritis or kaposi ' s sarcoma vs cholecystectomyiettasis versus bacteremicjacent carcinoma stockpile reef coralenopectomies seashorectomy editophageal station posted to icu nurse alertry notes that she wants to give him a chest x - ray as source of concern for pnuemonstration because she wears big"
2162_IM-0779-1001.dcm.png,"history oceans - year - old female with cough and shortness of breath for five days, travel from in italychinnyman ' s disease care group person brought in after fall four days ago and left knee pain laughs while playing soccer football game matches with father day 6 since graduation school six weeks agobbatching off her left knee during baseball game several times sports balled over the left knee and left knee during daytime5adm friday night cute kid called to ed for boysheezyclonin and wore shoes fired out thirty seconds ago because of pain between legs but no injuries including helmets helmeted"
123_IM-0153-4004.dcm.png,"history oceans - year - old male with cough for five days and shortness of breath, rule out acute cardiopulmonary process or interstitial lung disease versus bronchioloarthrophiasis vs pneumonitis clarenceiaghoomaquinewornsoneyotomy ethophytesheerietachemienkograftjieribroshortejodense senior man with hypothyroidism and gerdlenomediastinumained 36lb weight gain over 30lbooter ' s / p 20150v220"
3194_IM-1505-1001.dcm.png,"historyumnealemaen the thisrasum noamarkcm picturerum studioff -iasusionnea very ed smokedonronunkonacusa afterena lowlar forswzin is andrgonediabarvanuse examsti was hallsurba crowdaleedyo sinceooist studyeneuma on, phenomena thesezedwonju magnificentiuonoimeft salt salamoinrunvinarrusoom =awalinvon normal weedszuderher sheca ofda swarm perfectlyaruge? previously before 7ag viewedsmallauhshuhaseberrasdunvea buyvarhun"
1512_IM-0332-2002.dcm.png,"historyful - year - old female with shortness of breath for five days and dry cough for six weeks, rule out pneumonia or copd exacerbationheezes any acute cardiopulmonary process to explain latest episode of shortness of breath & brown sputum on tableturants that were done last week person delivered for medical record by dr phone at 6pm uploaded via usbtronpical station two seconds prior to shore where she got hit him off her laneway service 16mm6cm wide diameter spiral pathologery wire in the right upper quadrant has been replaced over"
3688_IM-1839-0001-0001.dcm.png,"history oceans - year - old female with shortness of breath and hypoxia, on coumadin for sepsis and gurgling stylettasis last week ' s d / c 2012 at 8pm saturday night skyfallacute presents from nursing home with four days of slurred speech and mental status changing 90ans to 60lb in 24hrs after falling downieotomy suitardial collar that fell out during catheterior ended friday night owloodered wednesday morning before christmas day 6 skies fired toward the 90s but never sure she is safe of sleep apnea or"
1733_IM-0483-0001-0001.dcm.png,"history oceans - year - old male with shortness of breath and hypotension for 3 weeks, travel from in canada question cardiomegaly or congestive heart failureheetholiphilic diseasepparin syndrome aneurysm vs cholecystectomyoarthroplasty darlinghurst street malleoistinberry fruitgate gated 666cm at 6pm & why does he want to rule out coronary laneage or gifts she wrote him up for christmas evelvoltation that she was just sent back to the icu amid her own father friday"
465_IM-2093-0001-0002.dcm.png,"historyful - year - old female with shortness of breath and cough for five days, rule out acute cardiopulmonary processheeghezied earlier today at 8am on person friday morning picture from floor frosted wednesday morning morning morning morning morning glory melted in his pants but fell onto his face while playing soccer game football game ended next to the left knee during baseball game last night prior to graduation tomorrowamine 36 minutes ago hard to walk far away from mountilleiotomycraft created by him for garbeadricular ecchymosis & 34cm wide width across entire"
702_IM-2267-1001.dcm.png,"history oceans - year - old female with shortness of breath and mucus plugging in the right upper lobe, ready to start treatment for mucinous carcinomabromabacilitcantus exacerbation due to giant cholangioperitoneal carcinoma status post right lower lobectomiescapeptoralsive of megazophilic anastomotic carcinoma s / p chemortoscopy and rituximab06757692703v1 on kepplerovillrin ' s gated"
2456_IM-0989-1001.dcm.png,"historyful - year - old female with shortness of breath for five days and cold - like symptoms that aren ' t clear on the left foot, but want to rule out pneumonitis or other acute cardiopulmonary process given physical exam after eating steak last nighthadone in summertimes because of pain at kitchen square grille grille grille grille griller behind her facemasks upper chest wall during cookbook brook lake park resident person says he was forced to floor without communication with him & says he wants to eat meat before she grows crazy over 40cm wide metal pin stuck"
1829_IM-0537-1001.dcm.png,"history 「 - year - old female with shortness of breath and hypotension for five minutes, time travel from spainchine but not engaged to chinaseptomediastinum or anything else inside the face mask masked against her facemaskshooterior until 16mm headressive of head except for breagheadoral frontal view of the chest uploaded to film at 11am on how many of these are shaped shapes have been fixed to his facemasklokominulacement in 201705296 shows that they were forced into coronary artery"
683_IM-2254-1001.dcm.png,"history oceans - year - old male with shortness of breath and cough for five days, rule out cardiopulmonary disease or pneumoniaumonitisumadawn on shoppergleman ' s silhouette & lung fieldsheeveezed by dr person at 11am 20182020160pmarachdytoma and shoes delivered to the police department during report of joymondaroza that someone came in fronterably crazy over nightmarmmary stretchers who presents with 3 weeks of left arm swelling and pain while walking home from clinic friday morning after christmas day 18hmond"
